date,price
2022-01-01,114.05
2022-01-08,119.46
2022-01-15,121.03
2022-01-22,128.34
2022-01-29,121.67
2022-02-05,131.8
2022-02-12,121.85
2022-02-19,140.76
2022-02-26,105.29
2022-03-05,119.59
2022-03-12,111.99
2022-03-19,116.44
2022-03-26,134.09
2022-04-02,110.39
2022-04-09,127.22
2022-04-16,103.48
2022-04-23,114.55
2022-04-30,112.79
2022-05-07,149.15
2022-05-14,148.06
2022-05-21,107.03
2022-05-28,102.0
2022-06-04,149.82
2022-06-11,129.64
2022-06-18,134.72
2022-06-25,102.76
2022-07-02,124.02
2022-07-09,122.13
2022-07-16,116.85
2022-07-23,118.55
2022-07-30,104.61
2022-08-06,137.48
2022-08-13,118.57
2022-08-20,123.07
2022-08-27,141.82
2022-09-03,102.83
2022-09-10,116.54
2022-09-17,124.05
2022-09-24,108.52
2022-10-01,118.29
2022-10-08,115.18
2022-10-15,104.61
2022-10-22,110.24
2022-10-29,126.72
2022-11-05,124.48
2022-11-12,125.55
2022-11-19,135.17
2022-11-26,147.14
2022-12-03,109.0
2022-12-10,142.54
2022-12-17,126.77
2022-12-24,110.75
2022-12-31,133.93
2023-01-07,123.23
2023-01-14,110.9
2023-01-21,102.96
2023-01-28,116.96
2023-02-04,144.73
2023-02-11,104.25
2023-02-18,100.53
2023-02-25,139.35
2023-03-04,117.92
2023-03-11,149.41
2023-03-18,134.21
2023-03-25,147.61
2023-04-01,149.84
2023-04-08,149.15
2023-04-15,107.17
2023-04-22,130.66
2023-04-29,138.69
2023-05-06,108.42
2023-05-13,148.12
2023-05-20,101.44
2023-05-27,129.51
2023-06-03,135.99
2023-06-10,149.68
2023-06-17,121.26
2023-06-24,148.14
2023-07-01,107.74
2023-07-08,125.64
2023-07-15,112.21
2023-07-22,138.45
2023-07-29,118.45
2023-08-05,125.42
2023-08-12,117.16
2023-08-19,114.67
2023-08-26,132.15
2023-09-02,133.3
2023-09-09,147.64
2023-09-16,117.37
2023-09-23,142.9
2023-09-30,114.47
2023-10-07,129.5
2023-10-14,144.75
2023-10-21,140.41
2023-10-28,100.26
2023-11-04,124.69
2023-11-11,129.14
2023-11-18,143.4
2023-11-25,138.83
2023-12-02,124.93
2023-12-09,147.84
2023-12-16,109.52
2023-12-23,125.88
2023-12-30,119.43
